(10, 4)
(59, 47)
(3, 7)
(10, 8)
(31, 5)
(82, 70)
(128, 114)
(13, 7)
(134, 120)
(29, 17)
(27, 1)
(30, 16)
(142, 130)
(97, 85)
(23, 9)
(74, 62)
(25, 5)
(104, 92)
(26, 2)
(44, 30)
(45, 31)
(26, 6)
(1, 5)
(38, 24)
(22, 10)
(112, 100)
(35, 3)
(36, 4)
(127, 115)
(53, 39)
(25, 3)
(67, 55)
(30, 2)
(11, 3)
(119, 105)
(89, 77)
(59, 45)
(4, 8)
(120, 106)
(143, 129)
(52, 40)
(29, 15)
(5, 7)
(83, 69)
(90, 76)
(44, 32)
(89, 75)
(98, 84)
(105, 91)
(75, 61)
(32, 4)
(30, 6)
(13, 5)
(11, 9)
(60, 46)
(135, 121)
(113, 99)
(68, 54)
(119, 107)
(37, 25)
(31, 3)
(134, 122)
(74, 60)
(14, 6)
(104, 90)
(27, 7)
(3, 8)
(1, 6)
(2, 5)
(126, 113)
(28, 7)
(5, 8)
(111, 98)
(7, 6)
(142, 129)
(6, 5)
(23, 8)
(76, 61)
(112, 99)
(141, 128)
(31, 16)
(66, 53)
(68, 53)
(22, 9)
(28, 1)
(10, 3)
(136, 121)
(14, 5)
(21, 8)
(3, 6)
(10, 9)
(11, 4)
(51, 38)
(31, 4)
(128, 113)
(105, 92)
(2, 7)
(13, 6)
(25, 4)
(98, 83)
(36, 23)
(30, 17)
(135, 122)
(83, 68)
(36, 3)
(75, 62)
(60, 47)
(121, 106)
(61, 46)
(127, 114)
(81, 68)
(11, 8)
(14, 7)
(37, 24)
(15, 6)
(38, 23)
(4, 7)
(67, 54)
(96, 83)
(53, 38)
(52, 39)
(46, 31)
(29, 4)
(113, 98)
(35, 4)
(82, 69)
(143, 128)
(120, 107)
(97, 84)
(6, 7)
(90, 77)
(91, 76)
(106, 91)
(45, 32)
